t	0000ul_dec	0000ul_irf	0000ul_fit	0000ul_res	0250ul_dec	0250ul_irf	0250ul_fit	0250ul_res	0500ul_dec	0500ul_irf	0500ul_fit	0500ul_res	0750ul_dec	0750ul_irf	0750ul_fit	0750ul_res	1000ul_dec	1000ul_irf	1000ul_fit	1000ul_res
69.191	590	3.99687	590.881	0.03604	372	3.99687	360.437	-0.61055	222	3.99687	221.513	-0.03301	105	3.769	123.577	1.7265	36	3.85541	49.5274	1.92163
69.246	582	4.00095	589.006	0.28638	367	4.00095	359.146	-0.41702	233	4.00095	220.653	-0.8322	111	4.00327	123.115	1.12159	61	4.01444	49.3955	-1.66156
69.3	621	2.98721	586.971	-1.39415	338	2.98721	357.677	1.04895	220	2.98721	219.602	-0.02699	121	2.47823	122.316	0.12069	58	2.74131	48.9465	-1.31439
69.355	606	1.0008	584.728	-0.8729	369	1.0008	355.981	-0.69577	247	1.0008	218.313	-1.93509	116	1.16023	121.476	0.50343	39	1.04618	48.3302	1.33591
69.41	588	3.9629	583.19	-0.19786	340	3.9629	355.079	0.80807	207	3.9629	217.873	0.72978	95	5.01882	121.603	2.46061	57	4.48501	48.7931	-1.15678
69.465	586	7.99686	581.999	-0.16419	320	7.99686	354.539	1.8583	243	7.99686	217.806	-1.68541	118	7.90401	121.754	0.34365	54	7.99901	49.4706	-0.62478
69.52	602	6.00469	580.051	-0.90251	342	6.00469	353.133	0.60091	197	6.00469	216.801	1.33162	136	5.89422	121.089	-1.36118	45	5.91472	49.0688	0.56667
69.575	567	7	578.488	0.47411	343	7	352.163	0.49397	215	7	216.266	0.08537	128	7.26323	120.99	-0.64294	49	7.14432	49.3058	0.04277
69.63	576	6.99638	576.822	0.03411	343	6.99638	351.072	0.43578	214	6.99638	215.597	0.10849	122	6.51306	120.545	-0.13329	54	6.77462	49.2471	-0.66123
69.685	617	3.99043	574.672	-1.7676	347	3.99043	349.442	0.13171	235	3.99043	214.351	-1.41262	127	3.53465	119.613	-0.67183	56	3.74522	48.5594	-1.06902
69.739	560	3.00379	572.692	0.53294	347	3.00379	348.017	0.05473	212	3.00379	213.335	0.092	117	3.15675	119.038	0.18511	52	3.06917	48.2378	-0.54555
69.794	582	4.0052	570.988	-0.46263	346	4.0052	346.904	0.04857	210	4.0052	212.653	0.18184	111	4.06433	118.702	0.70605	54	4.0484	48.2576	-0.83077
69.849	552	3.02061	569.022	0.71599	360	3.02061	345.492	-0.77897	216	3.02061	211.647	-0.29867	119	2.38889	117.903	-0.10154	44	2.71735	47.8065	0.55262
69.904	519	0.99361	566.838	2.01395	345	0.99361	343.842	-0.06232	181	0.99361	210.39	2.0164	110	1.58091	117.186	0.66688	28	1.2332	47.246	2.83425
69.959	529	4.99686	565.534	1.5477	336	4.99686	343.179	0.38692	216	4.99686	210.19	-0.4003	121	5.10054	117.294	-0.34263	46	5.10452	47.8274	0.27376
70.014	597	4	563.641	-1.41304	352	4	341.834	-0.54942	217	4	209.248	-0.5334	116	4.26581	116.73	0.06803	47	4.08969	47.5137	0.07716
70.069	555	5.99952	562.188	0.30525	346	5.99952	340.983	-0.27242	211	5.99952	208.833	-0.14958	108	5.72971	116.582	0.79916	46	5.91577	47.7925	0.27336
70.123	567	2.987	560.033	-0.29495	330	2.987	339.339	0.50839	214	2.987	207.564	-0.44611	116	2.65553	115.61	-0.0362	42	2.78607	47.0432	0.75459
70.178	554	3.00605	558.214	0.17745	336	3.00605	338.084	0.11376	219	3.00605	206.72	-0.84405	135	3.14294	115.182	-1.84272	42	3.08206	46.8997	0.71896
70.233	561	3.00848	556.399	-0.19301	330	3.00848	336.831	0.37164	217	3.00848	205.878	-0.76609	101	2.79072	114.615	1.27272	50	2.9044	46.6665	-0.48624
70.288	557	2.98416	554.586	-0.10173	317	2.98416	335.58	1.01061	198	2.98416	205.035	0.48894	112	3.73448	114.292	0.21421	42	3.32138	46.5606	0.6598
70.343	582	6.99543	553.438	-1.1968	345	6.99543	335.063	-0.54282	200	6.99543	204.972	0.34595	123	7.00007	114.489	-0.78989	59	7.05677	47.2385	-1.71762
70.398	573	4.00884	551.373	-0.90805	327	4.00884	333.503	0.35549	213	4.00884	203.782	-0.64785	109	3.07884	113.432	0.41188	44	3.53168	46.47	0.35734
70.453	569	2.00578	549.311	-0.82743	358	2.00578	331.963	-1.42683	208	2.00578	202.623	-0.37729	110	2.89351	112.905	0.27467	51	2.39168	46.0465	-0.71251
70.508	550	7.00419	548.288	-0.0719	353	7.00419	331.586	-1.17487	183	7.00419	202.708	1.39475	116	6.90055	113.211	-0.26085	54	7.03137	46.8807	-1.03479
70.562	613	3.9898	546.238	-2.80318	320	3.9898	330.036	0.54996	207	3.9898	201.525	-0.38857	123	3.85	112.33	-0.99162	38	3.86307	46.1951	1.18013
70.617	546	6.02484	544.853	-0.04839	326	6.02484	329.24	0.17756	177	6.02484	201.154	1.72576	113	6.64657	112.451	-0.0516	50	6.35037	46.6223	-0.49445
70.672	545	7.01987	543.416	-0.0671	321	7.01987	328.372	0.40272	225	7.01987	200.697	-1.74689	100	6.29555	112.101	1.12952	47	6.69778	46.7025	-0.04429
70.727	566	3.00755	541.22	-1.05522	323	3.00755	326.656	0.19998	186	3.00755	199.331	0.96799	123	2.96938	111.137	-1.11816	41	2.93255	45.8623	0.72304
70.782	561	4.99213	539.79	-0.90123	324	4.99213	325.811	0.09951	188	4.99213	198.907	0.78623	125	5.30831	111.123	-1.31317	50	5.17783	46.1824	-0.57846
70.837	536	5	538.152	0.0919	345	5	324.721	-1.11575	176	5	198.213	1.60965	99	4.73947	110.661	1.10848	45	4.87162	46.0481	0.15861
70.892	532	3.99978	536.355	0.18652	346	3.99978	323.454	-1.24321	192	3.99978	197.329	0.38295	124	4.03348	110.141	-1.30952	30	4.00267	45.7683	2.41717
70.947	514	5.00637	534.837	0.89239	350	5.00637	322.5	-1.51254	173	5.00637	196.781	1.72577	90	5.36054	109.991	1.89467	52	5.18327	45.9084	-0.94245
71.001	572	5.99358	533.378	-1.66136	325	5.99358	321.603	-0.18788	208	5.99358	196.288	-0.84946	108	5.71337	109.723	0.1648	39	5.87769	46.0053	1.08962
71.056	562	3.98838	531.489	-1.31732	313	3.98838	320.222	0.40216	189	3.98838	195.274	0.45423	114	3.82672	109.028	-0.47865	39	3.88636	45.5281	1.01404
71.111	519	3.99952	529.825	0.46968	313	3.99952	319.1	0.34305	206	3.99952	194.543	-0.8181	125	3.97304	108.637	-1.57455	40	3.99494	45.4183	0.85082
71.166	545	3.99613	528.166	-0.73363	336	3.99613	317.982	-1.01592	191	3.99613	193.814	0.20181	94	4.28073	108.288	1.39291	40	4.12312	45.3201	0.81982
71.221	523	5.00243	526.677	0.16	291	5.00243	317.051	1.48252	188	5.00243	193.283	0.37929	105	4.57325	107.956	0.2879	37	4.82522	45.3615	1.31118
71.276	525	2	524.594	-0.01779	283	2	315.453	1.84888	194	2	192.037	-0.14202	112	1.81749	107.033	-0.48272	51	1.87079	44.6077	-1.00652
71.331	489	3.00391	523.006	1.49445	289	3.00391	314.422	1.44908	224	3.00391	191.404	-2.35514	100	3.42075	106.83	0.67044	37	3.21561	44.6698	1.19298
71.385	490	5.01161	521.644	1.39423	331	5.01161	313.632	-0.99069	177	5.01161	191.023	1.02759	99	5.43789	106.803	0.77215	44	5.2256	44.9622	0.15067
71.44	527	5.98792	520.229	-0.3001	298	5.98792	312.77	0.84513	169	5.98792	190.555	1.57396	92	5.5199	106.503	1.42828	39	5.78597	45.0384	0.94049
71.495	512	3.015	518.229	0.2758	319	3.015	311.251	-0.44211	181	3.015	189.383	0.6123	112	2.83287	105.656	-0.62953	36	2.88968	44.3567	1.29118
71.55	530	3.00497	516.555	-0.5955	310	3.00497	310.109	0.00621	194	3.00497	188.623	-0.39435	95	2.69968	105.171	1.02113	48	2.87986	44.1708	-0.59721
71.605	495	1.0025	514.56	0.86557	309	1.0025	308.612	-0.02191	158	1.0025	187.483	2.19346	110	1.00706	104.37	-0.56331	35	0.97072	43.5516	1.32305
71.66	490	2.99341	513.113	1.01839	319	2.99341	307.732	-0.63745	203	2.99341	187.007	-1.19093	103	3.72088	104.359	0.1359	44	3.35798	43.8078	-0.03002
71.715	533	4.99674	511.785	-0.94064	307	4.99674	306.969	-0.00174	187	4.99674	186.646	-0.02647	91	4.44028	104.104	1.29958	43	4.76387	43.9773	0.15242
71.77	522	2.00205	509.756	-0.54533	311	2.00205	305.415	-0.31696	180	2.00205	185.434	0.4069	91	2.39375	103.337	1.23028	44	2.13259	43.3048	-0.10616
71.824	497	4.99784	508.546	0.51654	325	4.99784	304.787	-1.147	177	4.99784	185.217	0.61878	106	4.61119	103.312	-0.26883	43	4.87662	43.7124	0.10963
71.879	530	2.00673	506.53	-1.05021	314	2.00673	303.243	-0.61263	174	2.00673	184.012	0.74812	100	2.54234	102.555	0.2575	37	2.1918	43.0364	0.90659
71.934	469	6.97774	505.655	1.64418	275	6.97774	302.981	1.60689	156	6.97774	184.183	2.11905	107	7.29091	103.049	-0.39615	40	7.20717	43.9688	0.60136
71.989	471	5.02075	503.927	1.4798	324	5.02075	301.741	-1.27872	176	5.02075	183.292	0.54796	102	4.32655	102.268	0.02688	52	4.65583	43.4576	-1.29769
72.044	490	3.98855	502.248	0.55331	311	3.98855	300.566	-0.60107	176	3.98855	182.476	0.48647	90	4.80259	102.011	1.18858	42	4.35389	43.3154	0.19855
72.099	493	8	501.342	0.37514	289	8	300.252	0.65242	183	8	182.579	-0.03167	96	7.72631	102.272	0.62307	54	7.93557	44.0444	-1.5085
72.154	468	3.9931	499.352	1.4082	273	3.9931	298.709	1.48734	183	3.9931	181.357	-0.12395	112	3.40261	101.248	-1.06463	37	3.65731	43.1805	0.92824
72.209	516	3.00006	497.638	-0.82209	305	3.00006	297.497	-0.4341	189	3.00006	180.501	-0.63622	90	2.98129	100.764	1.07165	41	2.99608	42.9	0.28358
72.263	476	3.0053	496.038	0.89954	296	3.0053	296.415	0.02418	181	3.0053	179.787	-0.0903	116	3.19794	100.387	-1.56132	49	3.09062	42.7557	-0.95225
72.318	537	4.00084	494.606	-1.90567	290	4.00084	295.518	0.32191	172	4.00084	179.267	0.54135	99	3.94661	100.131	0.1125	40	3.991	42.8023	0.42789
72.373	541	3.0085	492.91	-2.16099	326	3.0085	294.319	-1.84976	165	3.0085	178.422	1.01111	106	2.80657	99.5406	-0.63957	44	2.89859	42.4457	-0.24111
72.428	498	2.99168	491.324	-0.29862	275	2.99168	293.247	1.06001	181	2.99168	177.714	-0.24829	97	3.35584	99.2271	0.22434	45	3.16178	42.3379	-0.41241
72.483	447	4.00356	489.911	1.93305	287	4.00356	292.365	0.31375	194	4.00356	177.207	-1.27386	94	3.42896	98.8516	0.48651	35	3.75738	42.3224	1.12689
72.538	478	1	487.903	0.44737	303	1	290.816	-0.71697	174	1	175.985	0.15095	99	1.35364	98.0523	-0.09628	41	1.10866	41.6002	0.09425
72.593	496	6.01205	487.045	-0.40654	285	6.01205	290.559	0.32754	147	6.01205	176.147	2.23185	105	7.25864	98.7369	-0.63159	42	6.65653	42.6024	0.09344
72.647	509	8.98449	486.135	-1.04873	300	8.98449	290.21	-0.58114	173	8.98449	176.192	0.24358	81	8.13485	98.7478	1.80512	38	8.62512	43.103	0.80022
72.702	453	2.96824	483.926	1.42281	270	2.96824	288.4	1.09293	177	2.96824	174.669	-0.17844	98	2.34321	97.4736	-0.05348	46	2.59923	41.8874	-0.6539
72.757	451	2.97804	482.374	1.43484	263	2.97804	287.356	1.44981	173	2.97804	173.982	0.07579	93	3.46879	97.2612	0.43541	34	3.2243	41.8493	1.22919
72.812	494	4.01214	480.995	-0.59399	283	4.01214	286.502	0.21097	151	4.01214	173.497	1.73168	112	3.39341	96.8738	-1.55191	49	3.74113	41.8232	-1.13005
72.867	452	0.99793	479.018	1.23275	288	0.99793	284.976	-0.18218	176	0.99793	172.291	-0.28119	91	1.38874	96.0982	0.52866	36	1.1303	41.1128	0.80065
72.922	472	4.00022	477.862	0.2677	272	4.00022	284.379	0.75088	171	4.00022	172.084	0.08244	99	3.68244	96.0733	-0.30204	35	3.90767	41.4869	1.01308
72.977	498	2.00537	476.062	-0.99891	276	2.00537	283.045	0.42641	170	2.00537	171.081	0.08274	84	2.99442	95.5825	1.19535	46	2.40851	41.0429	-0.78054
73.032	489	8.00125	475.462	-0.61436	243	8.00125	283.054	2.41732	181	8.00125	171.512	-0.73153	92	7.55414	96.1059	0.42101	37	7.90023	42.1127	0.79955
73.086	505	0.95914	473.068	-1.45562	285	0.95914	281.034	-0.23959	194	0.95914	169.759	-1.85373	87	0	94.4612	0.77788	46	0.27423	40.4969	-0.88121
73.141	502	0.04154	471.291	-1.39713	266	0.04154	279.741	0.83542	163	0.04154	168.807	0.4448	89	1.38414	94.1845	0.54249	40	0.66621	40.2804	0.04415
73.196	478	5.99973	470.593	-0.33756	281	5.99973	279.649	-0.08223	156	5.99973	169.134	1.01365	98	5.56247	94.5478	-0.36366	40	5.88442	41.1919	0.1844
73.251	480	1.01333	468.441	-0.52858	277	1.01333	277.904	0.05484	152	1.01333	167.679	1.21084	104	0.89906	93.3773	-1.11153	39	0.86888	40.0621	0.16587
73.306	455	3.98688	467.319	0.56486	278	3.98688	277.332	-0.04033	176	3.98688	167.49	-0.66545	84	4.54933	93.612	1.01008	32	4.305	40.5798	1.34358
73.361	469	5	466.047	-0.13547	257	5	276.572	1.17883	171	5	167.088	-0.30951	85	5.02879	93.4189	0.88416	48	5.01011	40.6702	-1.16708
73.416	457	4.99867	464.67	0.35341	268	4.99867	275.688	0.46334	148	4.99867	166.548	1.45877	88	4.81463	93.1153	0.54154	48	4.91425	40.6179	-1.16237
73.471	469	5.01055	463.3	-0.26325	290	5.01055	274.81	-0.91691	168	5.01055	166.013	-0.1564	95	5.75761	93.033	-0.21035	39	5.34564	40.6811	0.26219
73.525	466	9.00873	462.586	-0.15864	266	9.00873	274.658	0.52169	144	9.00873	166.25	1.76212	85	9.00064	93.4654	0.91701	35	9.06436	41.5203	1.03527
73.58	500	5.95604	460.946	-1.81848	298	5.95604	273.451	-1.48757	160	5.95604	165.348	0.43033	88	5.02814	92.6358	0.50184	34	5.48526	40.9023	1.07942
73.635	465	2.02134	458.998	-0.27977	263	2.02134	271.921	0.54147	180	2.02134	164.111	-1.27758	76	1.48491	91.6703	1.70527	48	1.7411	40.0422	-1.24619
73.69	459	0.00814	457.151	-0.08636	273	0.00814	270.527	-0.14937	153	0.00814	163.034	0.80308	82	0	90.9203	0.97136	47	0	39.4275	-1.19731
73.745	427	0	455.526	1.32907	286	0	269.391	-1.00792	135	0	162.237	2.19091	84	0.72151	90.5318	0.71033	26	0.32744	39.1889	2.07386
73.8	439	4	454.562	0.72734	250	4	268.984	1.15298	131	4	162.217	2.49758	85	4.20327	90.7393	0.61849	43	4.14687	39.7696	-0.50727
73.855	461	2.99683	453.006	-0.37702	249	2.99683	267.895	1.15902	173	2.99683	161.453	-0.93219	77	2.7	90.1462	1.41577	47	2.83584	39.3962	-1.17485
73.909	441	1.99457	451.4	0.49112	292	1.99457	266.755	-1.54431	161	1.99457	160.637	-0.02927	87	1.78368	89.5884	0.27557	41	1.89105	39.0329	-0.31321
73.964	488	2.0199	449.912	-1.80532	267	2.0199	265.751	-0.07672	154	2.0199	159.968	0.47481	97	2.706	89.3495	-0.81298	43	2.32924	38.9332	-0.65401
74.019	440	5.97964	449.074	0.42975	262	5.97964	265.464	0.21465	159	5.97964	160.062	0.08361	99	6.24667	89.689	-0.99255	36	6.15736	39.6349	0.57234
74.074	426	5.01355	447.654	1.02215	250	5.01355	264.506	0.89772	135	5.01355	159.425	1.89702	89	4.53005	89.176	0.0186	46	4.76893	39.3625	-1.06589
74.129	455	3.00469	446.014	-0.42665	276	3.00469	263.31	-0.78434	182	3.00469	158.537	-1.84283	94	2.7859	88.5626	-0.5721	26	2.88471	38.8978	2.10777
74.184	429	2.99706	444.596	0.73869	255	2.99706	262.37	0.46	192	2.99706	157.927	-2.68252	85	3.38606	88.3226	0.34873	40	3.1767	38.8241	-0.19361
74.239	433	5	443.511	0.49903	243	5	261.797	1.17585	166	5	157.708	-0.65303	79	5.06918	88.335	0.97442	41	5.05632	39.1309	-0.3059
74.294	466	5.00417	442.215	-1.13105	256	5.00417	260.976	0.31229	170	5.00417	157.215	-1.01282	99	5.32667	88.158	-1.14356	29	5.14442	39.1356	1.65637
74.348	414	5.98696	441.084	1.2791	255	5.98696	260.336	0.33701	140	5.98696	156.914	1.32934	84	5.28975	87.9377	0.41766	35	5.68915	39.2499	0.71052
74.403	461	1.99512	439.198	-1.03108	246	1.99512	258.852	0.81317	154	1.99512	155.709	0.13498	91	2.14751	87.0949	-0.41524	36	2.00462	38.4284	0.40286
74.458	469	4.98297	438.237	-1.45071	257	4.98297	258.417	0.08994	153	4.98297	155.635	0.21259	106	5.26218	87.3305	-1.98268	47	5.16881	38.9633	-1.32122
74.513	427	4.01336	436.8	0.46339	247	4.01336	257.432	0.66039	142	4.01336	154.964	1.05383	82	3.54771	86.7755	0.51004	37	3.77362	38.6369	0.27495
74.568	481	2.99468	435.305	-2.16157	221	2.99468	256.39	2.23874	158	2.99468	154.233	-0.31035	80	3.40382	86.4405	0.69005	31	3.17291	38.4132	1.23363
74.623	444	5	434.253	-0.45861	268	5	255.843	-0.772	168	5	154.032	-1.15467	90	4.72772	86.3931	-0.38474	31	4.9065	38.6897	1.2604
74.678	452	3.00052	432.662	-0.91737	240	3.00052	254.684	0.9322	132	3.00052	153.171	1.76767	87	3.27553	85.8656	-0.12216	46	3.0869	38.2531	-1.25487
74.733	411	6.00845	431.784	0.99249	256	6.00845	254.325	-0.10624	145	6.00845	153.169	0.68023	70	6.31425	86.1576	1.75714	27	6.20012	38.8412	1.9351
74.787	463	4.97348	430.416	-1.55377	259	4.97348	253.403	-0.35483	134	4.97348	152.554	1.55943	94	4.19077	85.5877	-0.91484	35	4.59314	38.5277	0.57822
74.842	457	2.002	428.679	-1.36349	238	2.002	252.077	0.88618	131	2.002	151.511	1.73487	91	2.24645	84.9358	-0.65605	45	2.07728	37.9149	-1.15104
74.897	395	4.97833	427.754	1.57425	247	4.97833	251.669	0.29529	128	4.97833	151.456	2.00641	76	5.46114	85.2097	0.99118	44	5.24904	38.4599	-0.88712
74.952	417	5.0162	426.518	0.46084	260	5.0162	250.895	-0.57482	160	5.0162	150.999	-0.76439	91	4.32463	84.7942	-0.66704	41	4.69191	38.3338	-0.44098
75.007	438	2.00011	424.789	-0.63931	250	2.00011	249.574	-0.02704	118	2.00011	149.957	2.7281	82	2.20274	84.1192	0.22605	35	2.05055	37.6998	0.44318
75.062	406	5	423.882	0.86947	253	5	249.18	-0.24321	142	5	149.914	0.67049	88	5.53716	84.4193	-0.38487	37	5.29115	38.2608	0.20727
75.117	457	7.00438	422.983	-1.6654	247	7.00438	248.774	0.11282	140	7.00438	149.845	0.83042	98	7.54406	84.6422	-1.44134	41	7.26174	38.7164	-0.37942
75.171	395	8.99569	422.196	1.32737	248	8.99569	248.479	0.03038	150	8.99569	149.884	-0.00976	89	8.65575	84.7992	-0.45038	24	8.86842	39.2007	2.58171
75.226	415	5.98315	420.705	0.27788	235	5.98315	247.388	0.78631	132	5.98315	149.069	1.45415	82	5.65035	84.1943	0.23785	32	5.78842	38.7037	1.15919
75.281	427	5.0169	419.386	-0.37209	242	5.0169	246.506	0.2879	153	5.0169	148.485	-0.38218	82	4.54013	83.8008	0.19221	34	4.80112	38.5089	0.75854
75.336	405	2.99548	417.845	0.62603	244	2.99548	245.383	0.08889	142	2.99548	147.648	0.48019	85	3.36957	83.3343	-0.17892	38	3.1349	38.1027	0.01744
75.391	418	5.99473	417.018	-0.04826	255	5.99473	245.063	-0.64042	127	5.99473	147.671	1.76103	86	6.10019	83.5847	-0.26249	30	6.08879	38.6583	1.47527
75.446	432	5.9956	415.871	-0.79145	260	5.9956	244.366	-1.00822	136	5.9956	147.281	0.97093	74	6.68794	83.5607	1.04942	30	6.296	38.7546	1.46135
75.501	414	9	415.218	0.05996	221	9	244.217	1.49277	134	9	147.473	1.1581	106	8.18453	83.7522	-2.43713	52	8.68297	39.3604	-2.1066
75.556	426	1.97847	413.097	-0.63525	228	1.97847	242.418	0.92452	131	1.97847	145.896	1.28897	78	1.07139	82.3041	0.47402	31	1.45735	37.9037	1.1524
75.61	397	2.0265	411.748	0.72384	234	2.0265	241.519	0.4828	135	2.0265	145.303	0.89448	80	3.11748	82.2923	0.25349	39	2.54592	37.9364	-0.17755
75.665	404	7.01145	411.213	0.35463	245	7.01145	241.521	-0.2247	125	7.01145	145.666	1.78901	74	7.07409	82.7799	0.98299	37	7.10041	38.8246	0.30087
75.72	393	5.01719	409.817	0.82827	248	5.01719	240.534	-0.48115	135	5.01719	144.958	0.85775	85	4.6511	82.2132	-0.31157	33	4.80921	38.4076	0.8734
75.775	424	4.00698	408.475	-0.76578	254	4.00698	239.619	-0.92486	137	4.00698	144.333	0.62724	74	3.68217	81.8027	0.88474	33	3.86009	38.1666	0.85323
75.83	428	2.00552	406.92	-1.04645	238	2.00552	238.473	0.03032	134	2.00552	143.464	0.80757	79	1.76079	81.1486	0.24311	38	1.86983	37.634	-0.0592
75.885	405	1	405.422	0.02094	230	1	237.401	0.47123	134	1	142.681	0.74104	68	0.61117	80.5432	1.42635	38	0.81648	37.2034	-0.13037
75.94	419	0.00403	403.875	-0.7491	269	0.00403	236.28	-2.09424	148	0.00403	141.848	-0.52141	76	0.64426	80.1125	0.46598	44	0.27862	36.8324	-1.1819
75.995	403	4.00672	403.095	0.00474	230	4.00672	236.013	0.38538	151	4.00672	141.927	-0.77263	86	4.15028	80.3816	-0.63844	37	4.13282	37.4368	0.07117
76.049	379	1.97994	401.555	1.12901	242	1.97994	234.877	-0.45999	137	1.97994	141.065	0.34412	81	1.27618	79.5717	-0.16195	45	1.61894	36.8062	-1.33116
76.104	405	0.00776	399.917	-0.25459	264	0.00776	233.644	-1.96085	134	0.00776	140.106	0.51749	73	0.32572	78.9877	0.67943	31	0.13064	36.268	0.8713
76.159	413	3.95352	399.141	-0.69399	222	3.95352	233.378	0.73327	143	3.95352	140.183	-0.23787	79	5.2714	79.5334	0.06026	32	4.60781	37.0106	0.83639
76.214	343	8.01271	398.607	2.7854	242	8.01271	233.353	-0.56131	123	8.01271	140.5	1.49088	81	7.17627	79.7493	-0.14222	41	7.68144	37.6884	-0.57074
76.269	397	1.01081	396.493	-0.02544	221	1.01081	231.549	0.6841	152	1.01081	138.907	-1.12273	77	0.09015	78.2727	0.1462	35	0.48501	36.1932	0.2113
76.324	424	1	395.14	-1.44503	237	1	230.631	-0.41245	131	1	138.283	0.62552	78	2.13456	78.2283	0.02656	26	1.53842	36.1746	1.85419
76.379	406	6.00153	394.609	-0.57177	240	6.00153	230.624	-0.61393	143	6.00153	138.627	-0.37435	74	5.87565	78.6405	0.53863	32	6.00821	36.9986	0.91431
76.433	417	2.98666	393.049	-1.20663	238	2.98666	229.443	-0.56168	126	2.98666	137.701	1.01333	67	2.67402	77.8738	1.25933	24	2.78807	36.3199	2.23281
76.488	387	2.99981	391.821	0.24294	234	2.99981	228.647	-0.35328	135	2.99981	137.196	0.19101	72	2.91708	77.6185	0.6561	21	2.9756	36.237	2.80272
76.543	398	2.97764	390.593	-0.37278	248	2.97764	227.85	-1.32962	133	2.97764	136.688	0.32389	64	3.63911	77.4744	1.59414	29	3.27114	36.1904	1.31767
76.598	387	6.00503	389.866	0.14568	217	6.00503	227.607	0.70365	142	6.00503	136.769	-0.45899	76	5.51985	77.6044	0.18997	29	5.8311	36.6791	1.37674
76.653	387	2.00593	388.162	0.05969	212	2.00593	226.26	0.95442	115	2.00593	135.662	1.82709	82	1.96311	76.7524	-0.6218	37	1.9189	35.8344	-0.20678
76.708	342	3.99749	387.221	2.33762	219	3.99749	225.782	0.4562	113	3.99749	135.495	1.99522	70	4.09649	76.8417	0.80198	33	4.08806	36.1576	0.5553
76.763	405	3	385.905	-0.99166	222	3	224.875	0.19398	129	3	134.862	0.52432	60	2.91645	76.3888	1.91816	37	2.93731	35.8462	-0.20153
76.818	355	2.99674	384.701	1.54756	215	2.99674	224.097	0.6172	133	2.99674	134.369	0.12287	77	2.73497	76.071	-0.10719	38	2.88458	35.7209	-0.39476
76.872	335	2.00786	383.34	2.51798	204	2.00786	223.143	1.30352	125	2.00786	133.688	0.7855	73	2.46474	75.727	0.31583	38	2.19698	35.4485	-0.44121
76.927	372	5.00876	382.58	0.55045	218	5.00876	222.861	0.33041	119	5.00876	133.725	1.3247	81	5.07464	75.9462	-0.5924	29	5.08024	35.9541	1.18874
76.982	356	4.98122	381.496	1.31835	222	4.98122	222.198	0.01352	116	4.98122	133.343	1.55609	74	5.71667	75.9191	0.22599	25	5.3014	36.0159	1.86499
77.037	376	8.01467	380.914	0.25549	226	8.01467	222.09	-0.26753	125	8.01467	133.552	0.77043	83	7.05625	76.0685	-0.80397	34	7.63179	36.5723	0.43759
77.092	389	1.01337	378.863	-0.5252	203	1.01337	220.334	1.18587	126	1.01337	131.993	0.5456	71	0.68689	74.75	0.43758	30	0.75334	35.1558	0.90054
77.147	395	4	378.062	-0.87173	219	4	220.006	0.06878	126	4	131.981	0.54981	66	4.96623	75.2078	1.07038	44	4.50726	35.7784	-1.45339
77.202	383	5.99532	377.268	-0.2945	200	5.99532	219.666	1.35279	119	5.99532	131.942	1.1903	64	5.29513	75.1162	1.30204	39	5.68717	36.0273	-0.52279
77.257	368	3.00719	375.773	0.39875	215	3.00719	218.535	0.24373	120	3.00719	131.053	1.01849	80	3.75175	74.669	-0.6307	34	3.29815	35.5274	0.265
77.311	379	8.0041	375.422	-0.18239	216	8.0041	218.689	0.18546	110	8.0041	131.543	1.99829	69	7.74528	75.2449	0.74464	22	7.97258	36.5064	2.50424
77.366	380	2.95274	373.709	-0.32173	208	2.95274	217.3	0.6419	104	2.95274	130.369	2.43205	78	2.12998	74.1216	-0.46246	31	2.49185	35.4297	0.7647
77.421	384	1.98478	372.388	-0.59352	193	1.98478	216.376	1.61436	118	1.98478	129.709	1.0851	71	2.47436	73.8775	0.3453	32	2.2131	35.23	0.56609
77.476	366	4.98452	371.666	0.28972	213	4.98452	216.121	0.21592	112	4.98452	129.764	1.64384	61	5.49848	74.191	1.57165	33	5.25553	35.7747	0.49657
77.531	419	6.00255	370.79	-2.45455	225	6.00255	215.674	-0.64526	111	6.00255	129.602	1.7157	73	5.62167	74.0946	0.13156	37	5.83501	35.9302	-0.19112
77.586	367	4	369.48	0.12644	200	4	214.739	1.02194	138	4	128.915	-0.82972	71	4.10453	73.6774	0.32129	30	4.01919	35.5709	0.95539
77.641	399	4.99849	368.553	-1.5544	217	4.99849	214.24	-0.19003	116	4.99849	128.699	1.1513	58	4.67096	73.5931	1.88632	35	4.87207	35.718	0.12314
77.695	380	3.00266	367.196	-0.65461	193	3.00266	213.256	1.38682	122	3.00266	127.962	0.53615	73	3.31454	73.1567	0.01908	27	3.10812	35.3158	1.42616
77.75	398	6.0142	366.552	-1.60998	215	6.0142	213.072	-0.1328	127	6.0142	128.084	0.09701	69	6.23878	73.5024	0.54378	35	6.16368	35.9153	0.15546
77.805	369	5.99464	365.581	-0.17675	208	5.99464	212.508	0.30951	131	5.99464	127.787	-0.28673	71	6.22261	73.4243	0.29375	46	6.08447	35.9721	-1.73978
77.86	371	7.01031	364.782	-0.32169	235	7.01031	212.132	-1.5706	120	7.01031	127.69	0.69434	68	6.53539	73.4116	0.65518	31	6.81764	36.2096	0.8949
77.915	374	3.01401	363.224	-0.56318	214	3.01401	210.906	-0.21307	136	3.01401	126.684	-0.84079	63	2.35981	72.5182	1.13764	32	2.6583	35.3698	0.58077
