t	0000ul_dec	0000ul_irf	0000ul_fit	0000ul_res	0250ul_dec	0250ul_irf	0250ul_fit	0250ul_res	0500ul_dec	0500ul_irf	0500ul_fit	0500ul_res	0750ul_dec	0750ul_irf	0750ul_fit	0750ul_res	1000ul_dec	1000ul_irf	1000ul_fit	1000ul_res
20.96	8062	9104.05	7285.72	-8.96873	7919	9104.05	7376.13	-6.25019	7920	9104.05	7420.66	-5.74242	8244	9069.49	7721.4	-5.89483	8253	9084.6	7949.17	-3.39155
21.015	7752	8835.97	7722.97	-0.32655	7946	8835.97	7800.83	-1.63038	8108	8835.97	7835.12	-3.06353	8212	8672.27	8114.26	-1.07625	8600	8760.11	8343.3	-2.80539
21.07	8284	7999.27	8050.82	-2.56626	8407	7999.27	8105.92	-3.31231	8267	7999.27	8123.16	-1.58507	8470	7969.34	8420.95	-0.53097	8702	7975.14	8610.05	-0.98887
21.125	8976	8071.39	8479.43	-5.36896	8870	8071.39	8527.98	-3.70162	8965	8071.39	8538.8	-4.61402	9156	7991.08	8830.8	-3.46842	9278	8039.92	9022.98	-2.70199
21.18	8814	7297	8772.2	-0.44604	8945	7297	8798.96	-1.55891	8766	7297	8793.23	0.29096	9208	7133.65	9063.47	-1.52499	9090	7212.02	9232.38	1.49146
21.235	9120	6726.98	9054.21	-0.69386	9116	6726.98	9062.92	-0.55925	8941	6726.98	9043.08	1.07664	9391	6678.68	9326.41	-0.67422	9290	6701.2	9464.15	1.80513
21.289	9439	6372.82	9338.75	-1.04565	9264	6372.82	9333.3	0.72319	9206	6372.82	9301.87	1.00455	9374	6193.54	9555.8	1.88027	9510	6289.26	9686.79	1.82293
21.344	9451	5329.83	9489.99	0.40333	9294	5329.83	9458.18	1.70194	9518	5329.83	9407.08	-1.15431	9507	5186.44	9651.65	1.48916	9818	5252.61	9740.76	-0.79252
21.399	9130	4841.27	9673.23	5.58599	9228	4841.27	9625.18	4.09856	9140	4841.27	9561.1	4.36682	9282	4741.91	9802.1	5.33626	9477	4793.9	9865.76	3.97754
21.454	9941	4224.79	9807.7	-1.3643	10001	4224.79	9741.26	-2.6696	10000	4224.79	9662.75	-3.48496	10000	4086.74	9884.11	-1.18575	10000	4155.57	9921.87	-0.79618
21.509	9563	3562.23	9899.84	3.4419	9522	3562.23	9814.36	3.00136	9170	3562.23	9721	5.67951	9751	3441.97	9930.33	1.83503	9485	3501.49	9936.59	4.60125
21.564	9695	2996	9970.49	2.80661	9514	2996	9867.91	3.62165	9392	2996	9760.98	3.79334	9253	2888.89	9957.83	7.20356	9531	2942.35	9934.62	4.10845
21.619	9962	2467.05	10015.5	0.5437	9637	2467.05	9896.62	2.65182	9558	2467.05	9776.71	2.24868	9728	2362.87	9959.02	2.358	9777	2414.92	9907.2	1.32724
21.674	9619	1946.09	10032.1	4.19381	9622	1946.09	9897.37	2.81375	9362	1946.09	9764.72	4.13756	9688	1841.6	9931.14	2.4829	9774	1893.62	9850.55	0.78233
21.728	9395	1515.73	10034.5	6.49514	9316	1515.73	9885.67	5.83535	9363	1515.73	9741.51	3.90042	9369	1479.6	9905.55	5.48738	9320	1495.27	9791.95	4.84252
21.783	9960	1381.84	10061.4	1.02865	9809	1381.84	9903.87	0.97146	9653	1381.84	9751.8	1.01741	9585	1324.84	9900.94	3.23933	9681	1355.8	9769.68	0.91166
21.838	9757	1015.51	10042.7	2.90014	9616	1015.51	9872.49	2.63196	9503	1015.51	9709.86	2.13386	9735	953.631	9844.2	1.12022	9567	982.793	9686.06	1.22665
