t	chcl3dec	irf	chcl3fit	chcl3res	etohdec	etohfit	etohres	h2odec	h2ofit	h2ores	iprohdec	iprohfit	iprohres
2.52401	4	0.58463	0.50205	-2.54513	1	0.46919	-0.53081	0	0.39916	0.39916	0	0.40883	0.40883
2.57888	1	0.65961	0.53527	-0.33814	0	0.50915	0.50915	0	0.44485	0.44485	1	0.49161	-0.50839
2.63375	2	0	0.49025	-1.06756	0	0.49115	0.49115	0	0.46495	0.46495	0	0.45085	0.45085
2.68861	1	1.10765	0.60631	-0.29526	0	0.5425	0.5425	0	0.44364	0.44364	1	0.44397	-0.55603
2.74348	1	1.79247	0.73496	-0.19878	0	0.65403	0.65403	0	0.53969	0.53969	2	0.61523	-1.31371
2.79835	1	0.34747	0.66224	-0.27081	1	0.65076	-0.34924	0	0.63958	0.63958	0	0.62835	0.5961
2.85322	2	0	0.63277	-1.09622	2	0.63446	-1.36554	2	0.61812	-1.38188	1	0.5855	-0.37493
2.90809	1	0.00687	0.62398	-0.30149	0	0.62474	0.62474	0	0.59604	0.59604	1	0.57656	-0.35232
2.96296	3	0.02985	0.61749	-1.91026	1	0.6161	-0.3839	0	0.57843	0.57843	4	0.56776	-2.97241
3.01783	2	0	0.60648	-1.1173	1	0.60573	-0.39427	0	0.56366	0.56366	0	0.55909	0.5304
3.0727	1	0.60017	0.66422	-0.24432	2	0.62796	-1.37204	1	0.54626	-0.45374	2	0.55056	-1.25525
3.12757	2	0.60056	0.68753	-0.98436	1	0.66172	-0.33828	1	0.58888	-0.41112	2	0.63117	-1.18544
3.18244	1	0	0.64351	-0.23914	0	0.64186	0.64186	1	0.59928	-0.40072	0	0.58828	0.53212
3.23731	1	0.03412	0.63759	-0.24943	0	0.63388	0.63388	0	0.5748	0.5748	0	0.5793	0.5793
3.29218	4	0	0.62604	-2.26332	1	0.62307	-0.37693	2	0.55987	-1.44013	2	0.57046	-1.42954
3.34705	1	0.00215	0.61682	-0.26372	2	0.61306	-1.38694	0	0.54264	0.54264	1	0.56175	-0.43825
3.40192	5	4.8E-4	0.60743	-3.10602	1	0.60303	-0.39697	0	0.52646	0.52646	0	0.55317	0.55317
3.45679	2	0	0.59822	-0.99121	0	0.59318	0.59318	0	0.51066	0.51066	1	0.54473	-0.45527
3.51166	3	0.01575	0.59093	-1.50698	2	0.58441	-1.41559	0	0.4953	0.4953	1	0.53641	-0.4398
3.56653	0	0	0.58112	0.37168	0	0.57469	0.57469	0	0.48178	0.48178	1	0.52822	-0.47178
3.6214	1	0.34502	0.61079	-0.22899	0	0.58255	0.58255	0	0.46706	0.46706	3	0.52016	-2.47984
3.67627	1	1.80385	0.78333	-0.13268	0	0.68418	0.68418	0	0.4898	0.4898	0	0.60124	0.60124
3.73114	6	1.06459	0.78918	-3.00847	2	0.74203	-1.19341	0	0.62529	0.62529	1	0.73684	-0.24965
3.78601	3	0	0.71766	-1.39764	0	0.71361	0.71361	0	0.64658	0.64658	0	0.65909	0.59617
3.84088	5	0	0.70681	-2.52589	1	0.70196	-0.29804	1	0.61585	-0.38415	1	0.64903	-0.31747
3.89575	3	0.57549	0.76028	-1.22675	1	0.72094	-0.27906	1	0.59734	-0.40266	1	0.63912	-0.36088
3.95062	5	0.63886	0.78778	-2.30713	4	0.75578	-3.24422	2	0.63655	-1.36345	2	0.71838	-1.21585
4.00549	0	0	0.74011	0.40538	0	0.73397	0.73397	1	0.64909	-0.35091	2	0.67416	-1.32584
4.06036	2	0.63492	0.7997	-0.66867	0	0.75666	0.68443	0	0.62256	0.62256	1	0.66387	-0.30404
4.11523	5	0.59128	0.81798	-2.32974	0	0.78717	0.74677	0	0.66529	0.66529	1	0.74275	-0.24405
4.1701	1	0	0.77252	-0.13134	1	0.76538	-0.21222	0	0.67234	0.67234	1	0.69816	-0.30184
4.22497	6	0.03382	0.76461	-3.27496	0	0.75536	0.7166	1	0.64578	-0.35422	0	0.6875	0.6875
4.27984	2	0	0.75116	-0.70803	4	0.74257	-3.09027	0	0.6287	0.6287	2	0.677	-1.323
4.33471	5	0.00726	0.74061	-2.37285	0	0.7309	0.60815	1	0.6094	-0.3906	0	0.66667	0.66667
4.38958	1	0	0.72901	-0.15646	2	0.71888	-1.06595	1	0.59166	-0.40834	0	0.65649	0.65649
4.44444	1	0.06781	0.72555	-0.14333	3	0.7111	-1.98225	0	0.57377	0.57377	1	0.64647	-0.35353
4.49931	5	0	0.71079	-2.38946	0	0.69876	0.60515	0	0.56243	0.56243	0	0.6366	0.6366
4.55418	3	1.19202	0.83292	-1.18696	3	0.75112	-2.13347	0	0.54452	0.54452	1	0.62688	-0.37312
4.60905	3	1.23439	0.89121	-1.24071	0	0.82891	0.74978	1	0.6455	-0.3545	2	0.79535	-1.20465
4.66392	7	0	0.80863	-3.57459	0	0.79692	0.79692	0	0.68532	0.68532	2	0.7167	-1.2833
4.71879	2	0.65895	0.86986	-0.619	0	0.8205	0.8205	1	0.65131	-0.34869	0	0.70576	0.70576
4.77366	3	0.61878	0.8888	-1.17612	2	0.85108	-1.14892	0	0.69466	0.69466	0	0.784	0.784
4.82853	1	0	0.84073	-0.09196	1	0.82799	-0.17201	1	0.70314	-0.29686	0	0.73878	0.73878
4.8834	2	0.66744	0.90242	-0.61144	0	0.85102	0.85102	1	0.67521	-0.32479	1	0.7275	-0.2725
4.93827	4	0.46428	0.90317	-1.82201	0	0.87224	0.87224	2	0.71922	-1.28078	1	0.80541	-0.19459
4.99314	4	0.47543	0.91653	-1.85008	2	0.87335	-1.12665	1	0.71308	-0.28692	0	0.75987	0.75987
5.04801	1	0.63399	0.94673	-0.03262	1	0.90723	-0.09277	0	0.73759	0.73759	1	0.83728	-0.16272
5.10288	5	0	0.89693	-2.56665	2	0.88291	-1.11709	0	0.74728	0.74728	3	0.79125	-2.09541
5.15775	4	0.03654	0.88745	-1.9908	0	0.87118	0.87118	1	0.71796	-0.28204	1	0.77917	-0.22083
5.21262	1	0	0.87198	-0.08811	0	0.85646	0.85646	0	0.6989	0.6989	0	0.76727	0.76727
5.26749	2	0.00258	0.85909	-0.80674	3	0.84266	-2.15734	0	0.67746	0.67746	1	0.75556	-0.2319
5.32236	0	0	0.84596	0.59818	0	0.82886	0.82886	1	0.65726	-0.34274	2	0.74403	-1.25597
5.37723	1	0	0.83317	-0.12922	1	0.81532	-0.18468	0	0.63747	0.63747	0	0.73267	0.73267
5.4321	1	0.0024	0.82085	-0.14907	0	0.80214	0.80214	0	0.6183	0.6183	1	0.72148	-0.27852
5.48697	3	0	0.8083	-1.75727	0	0.78901	0.78901	2	0.59992	-1.40008	1	0.71047	-0.28953
5.54184	1	0.03416	0.79989	-0.16044	1	0.77812	-0.22188	0	0.58184	0.58184	0	0.69962	0.69962
