t	chcl3_dec	chcl3_irf	chcl3_fit	chcl3_res	etoh_dec	etoh_irf	etoh_fit	etoh_res	h2o_dec	h2o_irf	h2o_fit	h2o_res	iproh_dec	iproh_irf	iproh_fit	iproh_res
2.24966	3	0.06823	0.48767	-1.77648	0	0.07308	0.4904	0.4904	0	0	0.49575	0.49575	3	0	0.45532	-2.20376
2.30453	3	0	0.47648	-1.69283	1	0	0.48148	-0.51852	0	0.06823	0.48689	0.48689	0	0	0.44837	0.35949
2.3594	3	0.00427	0.46975	-1.61835	0	0.00471	0.47394	0.47394	2	0	0.47082	-1.52918	1	0	0.44152	-0.44778
2.41427	1	0.00106	0.46253	-0.32913	0	6.1E-4	0.46618	0.46618	2	0.00427	0.45705	-1.54295	0	0	0.43478	0.43478
2.46914	1	0	0.45548	-0.34828	1	0	0.45856	-0.54144	1	0.00106	0.44331	-0.55669	1	0	0.42814	-0.57186
2.52401	3	0.03291	0.45227	-1.66788	0	0.02793	0.45298	0.45298	0	0	0.42996	0.42996	3	0	0.42161	-2.57839
2.57888	3	0	0.44359	-1.75944	0	0	0.44524	0.44524	0	0.03291	0.41995	0.41995	0	0	0.41517	0.41517
2.63375	4	0.58461	0.50205	-2.54513	1	0.45428	0.46919	-0.53081	0	0	0.40663	0.40663	0	0	0.40883	0.40883
2.68861	1	0.65964	0.53527	-0.33814	0	0.77541	0.50915	0.50915	0	0.58461	0.44621	0.44621	1	1	0.49161	-0.50839
2.74348	2	0	0.49025	-1.06756	0	0	0.49115	0.49115	0	0.65964	0.47898	0.47898	0	0	0.45085	0.45085
2.79835	1	1.10765	0.60631	-0.29526	0	0.86384	0.5425	0.5425	0	0	0.45075	0.45075	1	0	0.44397	-0.55603
2.85322	1	1.79247	0.73496	-0.19878	0	1.90845	0.65403	0.65403	0	1.10765	0.53535	0.53535	2	2	0.61523	-1.31371
2.90809	1	0.34747	0.66224	-0.27081	1	0.45437	0.65076	-0.34924	0	1.79247	0.65485	0.65485	0	1	0.62835	0.5961
2.96296	2	0	0.63277	-1.09622	2	0	0.63446	-1.36554	2	0.34747	0.62837	-1.37163	1	0	0.5855	-0.37493
3.01783	1	0.00687	0.62398	-0.30149	0	0.00939	0.62474	0.62474	0	0	0.60219	0.60219	1	0	0.57656	-0.35232
3.0727	3	0.02985	0.61749	-1.91026	1	0.02439	0.6161	-0.3839	0	0.00687	0.5847	0.5847	4	0	0.56776	-2.97241
3.12757	2	0	0.60648	-1.1173	1	0	0.60573	-0.39427	0	0.02985	0.56962	0.56962	0	0	0.55909	0.5304
3.18244	1	0.60017	0.66422	-0.24432	2	0.46742	0.62796	-1.37204	1	0	0.55187	-0.44813	2	0	0.55056	-1.25525
3.23731	2	0.60056	0.68753	-0.98435	1	0.72526	0.66172	-0.33828	1	0.60017	0.58846	-0.41154	2	1	0.63117	-1.18544
3.29218	1	0	0.64351	-0.23914	0	0	0.64186	0.64186	1	0.60056	0.61139	-0.38861	0	0	0.58828	0.53212
3.34705	1	0.03412	0.63759	-0.24943	0	0.03654	0.63388	0.63388	0	0	0.58042	0.58042	0	0	0.5793	0.5793
3.40192	4	0	0.62604	-2.26332	1	0	0.62307	-0.37693	2	0.03412	0.566	-1.434	2	0	0.57046	-1.42954
3.45679	1	0.00215	0.61682	-0.26372	2	0.00237	0.61306	-1.38694	0	0	0.54826	0.54826	1	0	0.56175	-0.43825
3.51166	5	4.8E-4	0.60743	-3.10602	1	2.6E-4	0.60303	-0.39697	0	0.00215	0.53197	0.53197	0	0	0.55317	0.55317
3.56653	2	0	0.59822	-0.99121	0	0	0.59318	0.59318	0	4.8E-4	0.51598	0.51598	1	0	0.54473	-0.45527
3.6214	3	0.01575	0.59093	-1.50698	2	0.01336	0.58441	-1.41559	0	0	0.50045	0.50045	1	0	0.53641	-0.4398
3.67627	0	0	0.58112	0.37168	0	0	0.57469	0.57469	0	0.01575	0.4868	0.4868	1	0	0.52822	-0.47178
3.73114	1	0.34502	0.61079	-0.22899	0	0.25083	0.58255	0.58255	0	0	0.47184	0.47184	3	0	0.52016	-2.47984
3.78601	1	1.80385	0.78333	-0.13268	0	1.66272	0.68418	0.68418	0	0.34502	0.48822	0.48822	0	1	0.60124	0.60124
3.84088	6	1.06459	0.78918	-3.00847	2	1.30629	0.74204	-1.19341	0	1.80385	0.62614	0.62614	1	2	0.73684	-0.24965
3.89575	3	0	0.71766	-1.39764	0	0	0.71361	0.71361	0	1.06459	0.66383	0.66383	0	0	0.65909	0.59617
3.95062	5	0	0.70681	-2.52589	1	0	0.70196	-0.29804	1	0	0.62155	-0.37845	1	0	0.64903	-0.31747
4.00549	3	0.57549	0.76028	-1.22675	1	0.44302	0.72094	-0.27906	1	0	0.60286	-0.39714	1	0	0.63912	-0.36088
4.06036	5	0.63886	0.78779	-2.30713	4	0.7587	0.75578	-3.24422	2	0.57549	0.63573	-1.36427	2	1	0.71838	-1.21585
4.11523	0	0	0.74011	0.40538	0	0	0.73397	0.73397	1	0.63886	0.66116	-0.33884	2	0	0.67416	-1.32584
4.1701	2	0.63492	0.7997	-0.66867	0	0.50463	0.75666	0.68443	0	0	0.62789	0.62789	1	0	0.66387	-0.30404
4.22497	5	0.59128	0.81798	-2.32974	0	0.71531	0.78717	0.74677	0	0.63492	0.66527	0.66527	1	1	0.74275	-0.24405
4.27984	1	0	0.77252	-0.13134	1	0	0.76538	-0.21222	0	0.59128	0.68434	0.68434	1	0	0.69816	-0.30184
4.33471	6	0.03382	0.76461	-3.27496	0	0.03614	0.75536	0.7166	1	0	0.65137	-0.34863	0	0	0.6875	0.6875
4.38958	2	0	0.75116	-0.70803	4	0	0.74257	-3.09027	0	0.03382	0.63479	0.63479	2	0	0.677	-1.323
4.44444	5	0.00726	0.74061	-2.37285	0	0.0067	0.7309	0.60815	1	0	0.61499	-0.38501	0	0	0.66667	0.66667
4.49931	1	0	0.72901	-0.15646	2	0	0.71888	-1.06596	1	0.00726	0.59715	-0.40285	0	0	0.65649	0.65649
4.55418	1	0.06781	0.72555	-0.14333	3	0.05762	0.7111	-1.98225	0	0	0.57904	0.57904	1	0	0.64647	-0.35353
4.60905	5	0	0.71079	-2.38946	0	0	0.69876	0.60515	0	0.06781	0.56764	0.56764	0	0	0.6366	0.6366
4.66392	3	1.19202	0.83292	-1.18696	3	0.92791	0.75113	-2.13347	0	0	0.54915	0.54915	1	0	0.62688	-0.37312
4.71879	3	1.23439	0.89121	-1.24071	0	1.47873	0.82891	0.74978	1	1.19202	0.63826	-0.36174	2	2	0.79535	-1.20465
4.77366	7	0	0.80863	-3.57459	0	0	0.79692	0.79692	0	1.23439	0.70346	0.70346	2	0	0.7167	-1.2833
4.82853	2	0.65895	0.86986	-0.619	0	0.53254	0.8205	0.8205	1	0	0.65643	-0.34357	0	0	0.70576	0.70576
4.8834	3	0.61878	0.8888	-1.17612	2	0.73665	0.85108	-1.14892	0	0.65895	0.69508	0.69508	0	1	0.784	0.784
4.93827	1	0	0.84073	-0.09196	1	0	0.82799	-0.17201	1	0.61878	0.71519	-0.28481	0	0	0.73878	0.73878
4.99314	2	0.66744	0.90242	-0.61144	0	0.53189	0.85102	0.85102	1	0	0.68072	-0.31928	1	0	0.7275	-0.2725
5.04801	4	0.46428	0.90317	-1.82201	0	0.60757	0.87224	0.87224	2	0.66744	0.71939	-1.28061	1	1	0.80541	-0.19459
