t	000dec	irf	000fit	000res	025dec	025fit	025res	050dec	050fit	050res	075dec	075fit	075res	100dec	100fit	100res
47.9561	1961.00	0.00000	2052.09	1.99126	1557.00	1506.67	-1.27578	1077.00	1093.77	0.500860	691.000	722.074	1.13779	326.000	314.517	-0.611560
48.0110	2250.00	0.00000	2045.42	-4.47939	1586.00	1500.96	-2.16274	1125.00	1089.05	-1.07101	784.000	718.479	-2.40336	382.000	312.690	-3.69248
48.0658	2013.00	0.00000	2038.77	0.565140	1500.00	1495.28	-0.120160	1063.00	1084.35	0.637260	748.000	714.904	-1.21591	341.000	310.876	-1.60994
48.1207	2129.00	0.00000	2032.15	-2.12571	1487.00	1489.62	0.0669100	1085.00	1079.68	-0.159200	702.000	711.348	0.342930	306.000	309.074	0.164690
48.1756	2109.00	0.00000	2025.55	-1.83472	1555.00	1483.99	-1.81013	1188.00	1075.03	-3.38603	807.000	707.811	-3.65672	417.000	307.285	-5.88887
48.2305	2048.00	0.00000	2018.97	-0.637120	1505.00	1478.37	-0.682140	1159.00	1070.39	-2.65754	691.000	704.293	0.489200	345.000	305.508	-2.12243
48.2853	2011.00	0.00000	2012.41	0.0312200	1547.00	1472.78	-1.90652	1074.00	1065.78	-0.246380	708.000	700.794	-0.265970	333.000	303.743	-1.57972
48.3402	2073.00	0.00000	2005.88	-1.48135	1601.00	1467.21	-3.43320	1133.00	1061.19	-2.15447	763.000	697.314	-2.42968	341.000	301.990	-2.11628
48.3951	2025.00	0.00000	1999.36	-0.568770	1514.00	1461.66	-1.34532	1115.00	1056.62	-1.75750	728.000	693.852	-1.26204	333.000	300.250	-1.76663
48.4499	2026.00	0.00000	1992.87	-0.733460	1420.00	1456.13	0.932060	1063.00	1052.07	-0.329990	714.000	690.410	-0.873710	318.000	298.521	-1.06407
48.5048	2019.00	0.00000	1986.40	-0.720930	1511.00	1450.63	-1.55779	1133.00	1047.55	-2.58428	746.000	686.986	-2.18472	353.000	296.804	-3.08260
48.5597	2038.00	0.00000	1979.95	-1.28557	1528.00	1445.14	-2.14717	1048.00	1043.04	-0.150210	719.000	683.580	-1.31306	312.000	295.099	-0.929740
48.6145	1934.00	0.00000	1973.53	0.874990	1442.00	1439.68	-0.0602200	1017.00	1038.55	0.653700	713.000	680.192	-1.21807	341.000	293.406	-2.60425
48.6694	2186.00	0.00000	1967.12	-4.84887	1457.00	1434.24	-0.591680	1126.00	1034.08	-2.78750	779.000	676.823	-3.78750	340.000	291.724	-2.64862
48.7243	2089.00	0.00000	1960.73	-2.84668	1498.00	1428.82	-1.79590	1132.00	1029.64	-3.10446	697.000	673.472	-0.874870	320.000	290.053	-1.64354
48.7792	1959.00	0.00000	1954.37	-0.102610	1431.00	1423.42	-0.197040	1057.00	1025.21	-0.966750	690.000	670.139	-0.741770	316.000	288.394	-1.52016
48.8340	2089.00	0.00000	1948.03	-3.13520	1553.00	1418.04	-3.53156	1090.00	1020.80	-2.10484	743.000	666.824	-2.85928	373.000	286.747	-4.73219
48.8889	1999.00	0.00000	1941.71	-1.27420	1478.00	1412.69	-1.71080	1120.00	1016.42	-3.15617	749.000	663.527	-3.22139	317.000	285.110	-1.75696
48.9438	1959.00	0.00000	1935.41	-0.527260	1457.00	1407.35	-1.30367	1062.00	1012.05	-1.53365	673.000	660.247	-0.485170	316.000	283.485	-1.79993
48.9986	2064.00	0.00000	1929.13	-3.02621	1471.00	1402.04	-1.81739	1080.00	1007.70	-2.23209	689.000	656.985	-1.21526	333.000	281.871	-2.82602
49.0535	1917.00	0.00000	1922.87	0.132010	1356.00	1396.74	1.07283	1043.00	1003.38	-1.22467	655.000	653.741	-0.0477900	334.000	280.267	-2.98617
49.1084	1934.00	0.00000	1916.63	-0.392910	1416.00	1391.47	-0.647970	984.000	999.067	0.466150	661.000	650.514	-0.399970	316.000	278.675	-2.08689
49.1632	2011.00	0.00000	1910.41	-2.28482	1393.00	1386.22	-0.179690	979.000	994.779	0.491920	661.000	647.304	-0.526460	312.000	277.093	-1.95610
49.2181	1945.00	0.00000	1904.22	-0.927670	1404.00	1380.99	-0.611780	1027.00	990.510	-1.13804	725.000	644.112	-3.11083	329.000	275.523	-3.01258
49.2730	1866.00	0.00000	1898.04	0.730820	1453.00	1375.78	-2.05641	1037.00	986.260	-1.58640	691.000	640.936	-1.92854	284.000	273.962	-0.566450
49.3279	1894.00	0.00000	1891.89	-0.0483100	1469.00	1370.58	-2.61762	1071.00	982.030	-2.79309	682.000	637.778	-1.69987	338.000	272.413	-3.71447
49.3827	1853.00	0.00000	1885.75	0.751250	1399.00	1365.41	-0.896490	977.000	977.818	0.0257800	654.000	634.637	-0.746410	304.000	270.874	-1.88314
49.4376	1911.00	0.00000	1879.64	-0.720650	1374.00	1360.26	-0.365890	1055.00	973.626	-2.55910	667.000	631.512	-1.36381	286.000	269.345	-0.944420
49.4925	1968.00	0.00000	1873.54	-2.17187	1428.00	1355.13	-1.94221	1034.00	969.452	-2.03363	669.000	628.404	-1.56228	323.000	267.827	-3.14210
49.5473	1867.00	0.00000	1867.47	0.0107100	1386.00	1350.02	-0.963980	968.000	965.297	-0.0853200	681.000	625.313	-2.15245	314.000	266.318	-2.70522
49.6022	1789.00	0.00000	1861.41	1.66414	1326.00	1344.93	0.507940	913.000	961.162	1.52580	627.000	622.238	-0.183860	295.000	264.820	-1.72870
49.6571	1955.00	0.00000	1855.38	-2.28633	1446.00	1339.86	-2.85541	1018.00	957.044	-1.92877	698.000	619.180	-3.04610	326.000	263.333	-3.58963
49.7119	1921.00	0.00000	1849.37	-1.64466	1387.00	1334.81	-1.40696	994.000	952.946	-1.30384	708.000	616.138	-3.56404	305.000	261.855	-2.47229
49.7668	1941.00	0.00000	1843.37	-2.24699	1321.00	1329.78	0.237430	1000.00	948.865	-1.63260	638.000	613.112	-0.969890	305.000	260.387	-2.57098
49.8217	1836.00	0.00000	1837.40	0.0321400	1437.00	1324.77	-3.03918	1008.00	944.804	-2.01634	695.000	610.103	-3.30461	285.000	258.929	-1.50717
49.8765	1899.00	0.00000	1831.44	-1.55208	1330.00	1319.78	-0.276770	999.000	940.760	-1.85904	643.000	607.110	-1.39468	304.000	257.481	-2.69680
49.9314	1898.00	0.00000	1825.51	-1.67466	1322.00	1314.81	-0.195470	989.000	936.735	-1.67250	620.000	604.132	-0.620050	284.000	256.042	-1.63424
49.9863	1884.00	0.00000	1819.59	-1.49338	1354.00	1309.85	-1.20302	940.000	932.728	-0.233330	616.000	601.171	-0.584350	292.000	254.613	-2.19541
50.0412	1886.00	0.00000	1813.70	-1.68263	1350.00	1304.92	-1.22673	980.000	928.738	-1.65379	695.000	598.225	-3.82536	297.000	253.194	-2.59079
50.0960	1831.00	0.00000	1807.82	-0.539540	1330.00	1300.01	-0.819730	905.000	924.767	0.639280	647.000	595.295	-2.06033	280.000	251.784	-1.67625
50.1509	1768.00	0.00000	1801.97	0.790820	1361.00	1295.11	-1.80012	974.000	920.814	-1.72669	632.000	592.381	-1.57734	282.000	250.384	-1.88604
50.2058	1797.00	0.00000	1796.13	-0.0203000	1315.00	1290.23	-0.677580	948.000	916.879	-1.01447	610.000	589.482	-0.817080	281.000	248.993	-1.90223
50.2606	1818.00	0.00000	1790.31	-0.648100	1355.00	1285.38	-1.91115	904.000	912.961	0.291120	602.000	586.599	-0.613640	268.000	247.612	-1.21699
50.3155	1826.00	0.00000	1784.52	-0.975010	1333.00	1280.54	-1.44471	966.000	909.061	-1.85442	603.000	583.731	-0.775660	262.000	246.239	-0.944320
50.3704	1896.00	0.00000	1778.74	-2.76120	1338.00	1275.72	-1.71505	933.000	905.178	-0.902030	653.000	580.879	-2.91719	283.000	244.876	-2.28561
50.4252	1808.00	0.00000	1772.98	-0.822490	1287.00	1270.92	-0.442910	920.000	901.313	-0.607100	617.000	578.041	-1.58376	303.000	243.522	-3.54816
50.4801	1795.00	0.00000	1767.24	-0.652000	1275.00	1266.14	-0.244240	997.000	897.465	-3.24129	610.000	575.219	-1.41108	270.000	242.177	-1.66473
50.5350	1754.00	0.00000	1761.51	0.176490	1273.00	1261.38	-0.320680	938.000	893.635	-1.44651	580.000	572.412	-0.307780	278.000	240.841	-2.21981
50.5899	1770.00	0.00000	1755.81	-0.334050	1331.00	1256.63	-2.05507	982.000	889.822	-3.01670	594.000	569.619	-0.993320	277.000	239.513	-2.22703
50.6447	1855.00	0.00000	1750.13	-2.47843	1355.00	1251.91	-2.84838	939.000	886.026	-1.73637	577.000	566.842	-0.415820	307.000	238.195	-4.07248
50.6996	1797.00	0.00000	1744.46	-1.24032	1299.00	1247.20	-1.43293	908.000	882.247	-0.848030	632.000	564.079	-2.78552	266.000	236.885	-1.73718
50.7545	1817.00	0.00000	1738.82	-1.84682	1334.00	1242.51	-2.52715	883.000	878.485	-0.149200	605.000	561.331	-1.78758	276.000	235.584	-2.39963
50.8093	1743.00	0.00000	1733.19	-0.231780	1294.00	1237.84	-1.55221	903.000	874.740	-0.934600	554.000	558.598	0.188090	290.000	234.292	-3.33249
50.8642	1775.00	0.00000	1727.58	-1.12314	1342.00	1233.19	-3.02768	907.000	871.011	-1.19962	602.000	555.879	-1.88989	302.000	233.008	-4.14033
50.9191	1841.00	0.00000	1721.99	-2.82712	1259.00	1228.55	-0.850100	843.000	867.300	0.808750	597.000	553.175	-1.79232	262.000	231.733	-1.82553
50.9739	1777.00	0.00000	1716.42	-1.44119	1309.00	1223.94	-2.38074	939.000	863.605	-2.51767	630.000	550.485	-3.28195	295.000	230.466	-3.91854
51.0288	1745.00	0.00000	1710.87	-0.810920	1259.00	1219.34	-1.11138	925.000	859.927	-2.17085	587.000	547.809	-1.62004	240.000	229.208	-0.660610
51.0837	1692.00	0.00000	1705.33	0.316840	1174.00	1214.76	1.14636	853.000	856.265	0.108990	576.000	545.147	-1.27042	261.000	227.958	-2.03790
51.1386	1761.00	0.00000	1699.82	-1.45174	1276.00	1210.19	-1.85964	964.000	852.620	-3.71359	598.000	542.500	-2.28597	282.000	226.716	-3.43151
51.1934	1751.00	0.00000	1694.32	-1.35307	1243.00	1205.65	-1.05309	854.000	848.991	-0.167010	534.000	539.867	0.242080	233.000	225.482	-0.467830
51.2483	1860.00	0.00000	1688.84	-4.09727	1307.00	1201.12	-2.99124	899.000	845.378	-1.79472	589.000	537.247	-2.14317	237.000	224.257	-0.797490
51.3032	1734.00	0.00000	1683.38	-1.21271	1207.00	1196.61	-0.293900	894.000	841.782	-1.75178	595.000	534.642	-2.49621	254.000	223.039	-1.92961
51.3580	1825.00	0.00000	1677.93	-3.52532	1236.00	1192.12	-1.23673	925.000	838.201	-2.91441	599.000	532.050	-2.77648	272.000	221.830	-3.13563
51.4129	1649.00	0.00000	1672.51	0.564610	1311.00	1187.65	-3.48220	843.000	834.637	-0.281820	578.000	529.472	-2.02121	250.000	220.628	-1.84213
51.4678	1689.00	0.00000	1667.10	-0.526190	1263.00	1183.19	-2.25652	877.000	831.089	-1.54825	592.000	526.908	-2.70773	269.000	219.435	-3.10322
51.5226	1722.00	0.00000	1661.71	-1.45758	1227.00	1178.75	-1.37204	888.000	827.557	-2.04492	601.000	524.357	-3.20583	259.000	218.249	-2.54032
51.5775	1672.00	0.00000	1656.34	-0.378070	1260.00	1174.33	-2.43779	839.000	824.040	-0.506670	547.000	521.820	-1.05569	248.000	217.071	-1.92721
51.6324	1699.00	0.00000	1650.98	-1.16198	1240.00	1169.92	-1.99991	906.000	820.539	-2.91400	553.000	519.297	-1.41666	266.000	215.901	-3.12915
51.6872	1740.00	0.00000	1645.65	-2.28294	1208.00	1165.53	-1.21868	843.000	817.054	-0.885030	547.000	516.786	-1.27727	241.000	214.738	-1.63427
51.7421	1668.00	0.00000	1640.33	-0.669130	1179.00	1161.16	-0.514600	848.000	813.585	-1.17386	532.000	514.289	-0.750660	257.000	213.583	-2.71353
51.7970	1781.00	0.00000	1635.03	-3.53445	1192.00	1156.81	-1.01943	877.000	810.131	-2.29420	571.000	511.805	-2.53124	256.000	212.436	-2.73524
51.8519	1748.00	0.00000	1629.74	-2.87065	1171.00	1152.47	-0.539990	820.000	806.692	-0.456750	573.000	509.335	-2.73214	261.000	211.296	-3.11325
51.9067	1654.00	0.00000	1624.48	-0.716610	1189.00	1148.15	-1.19145	837.000	803.269	-1.16382	520.000	506.877	-0.563280	267.000	210.164	-3.58509
51.9616	1707.00	0.00000	1619.23	-2.14087	1149.00	1143.85	-0.150980	878.000	799.861	-2.69177	566.000	504.432	-2.64104	249.000	209.039	-2.53300
52.0165	1682.00	0.00000	1614.00	-1.66264	1138.00	1139.56	0.0457000	798.000	796.469	-0.0530500	513.000	502.001	-0.474710	238.000	207.921	-1.91949
52.0713	1594.00	0.00000	1608.78	0.362150	1132.00	1135.29	0.0962000	833.000	793.092	-1.39149	512.000	499.582	-0.539130	259.000	206.811	-3.35408
52.1262	1700.00	0.00000	1603.59	-2.36800	1222.00	1131.04	-2.66443	826.000	789.729	-1.26252	551.000	497.176	-2.35233	234.000	205.708	-1.82966
52.1811	1593.00	0.00000	1598.41	0.133350	1116.00	1126.80	0.317110	867.000	786.382	-2.80750	553.000	494.782	-2.54758	219.000	204.612	-0.940150
52.2359	1596.00	0.00000	1593.25	-0.0679300	1171.00	1122.58	-1.42424	760.000	783.050	0.805870	473.000	492.401	0.850720	227.000	203.523	-1.53914
52.2908	1726.00	0.00000	1588.10	-3.41408	1233.00	1118.37	-3.36925	784.000	779.733	-0.149190	514.000	490.033	-1.05169	225.000	202.441	-1.47298
52.3457	1667.00	0.00000	1582.97	-2.07609	1140.00	1114.19	-0.759190	845.000	776.430	-2.40896	510.000	487.678	-0.980900	234.000	201.366	-2.16386
52.4006	1541.00	0.00000	1577.86	0.911820	1136.00	1110.01	-0.765710	830.000	773.143	-1.99749	508.000	485.334	-0.997590	223.000	200.299	-1.50971
52.4554	1688.00	0.00000	1572.77	-2.84614	1115.00	1105.86	-0.269030	820.000	769.870	-1.77509	547.000	483.003	-2.83320	235.000	199.238	-2.37887
52.5103	1578.00	0.00000	1567.69	-0.255920	1152.00	1101.72	-1.48734	798.000	766.611	-1.11402	506.000	480.685	-1.11745	255.000	198.184	-3.79619
52.5652	1654.00	0.00000	1562.63	-2.27779	1120.00	1097.60	-0.663900	762.000	763.368	0.0484700	499.000	478.378	-0.912650	195.000	197.137	0.143010
52.6200	1666.00	0.00000	1557.59	-2.71149	1182.00	1093.49	-2.62080	826.000	760.138	-2.34672	536.000	476.084	-2.65312	222.000	196.096	-1.73724
52.6749	1637.00	0.00000	1552.56	-2.11730	1140.00	1089.40	-1.50566	753.000	756.923	0.140700	499.000	473.802	-1.11872	218.000	195.063	-1.54682
52.7298	1450.00	0.00000	1547.55	2.45339	1067.00	1085.32	0.545550	727.000	753.723	0.959020	500.000	471.532	-1.27102	209.000	194.036	-1.01714
52.7846	1601.00	0.00000	1542.55	-1.47053	1196.00	1081.26	-3.42262	805.000	750.537	-1.95849	490.000	469.274	-0.927530	218.000	193.015	-1.71505
52.8395	1573.00	0.00000	1537.58	-0.894620	1157.00	1077.22	-2.38908	768.000	747.365	-0.743970	505.000	467.027	-1.70426	226.000	192.002	-2.32710
52.8944	1468.00	0.00000	1532.62	1.63456	1036.00	1073.19	1.12123	739.000	744.207	0.189250	484.000	464.793	-0.865240	201.000	190.994	-0.683610
52.9493	1601.00	0.00000	1527.67	-1.85679	1103.00	1069.18	-1.01944	810.000	741.063	-2.50831	496.000	462.570	-1.51158	204.000	189.994	-0.953740
53.0041	1567.00	0.00000	1522.74	-1.11927	1113.00	1065.18	-1.44019	770.000	737.933	-1.16788	485.000	460.359	-1.12457	217.000	189.000	-1.91308
53.0590	1548.00	0.00000	1517.83	-0.762120	1042.00	1061.20	0.580170	726.000	734.818	0.321310	473.000	458.160	-0.674250	206.000	188.012	-1.22269
53.1139	1619.00	0.00000	1512.93	-2.68418	1049.00	1057.24	0.249620	715.000	731.716	0.610610	503.000	455.972	-2.14331	229.000	187.030	-2.86826
53.1687	1610.00	0.00000	1508.05	-2.57752	1142.00	1053.29	-2.68913	738.000	728.628	-0.342730	466.000	453.796	-0.557640	231.000	186.055	-3.06840
53.2236	1485.00	0.00000	1503.19	0.460420	1083.00	1049.35	-1.02223	714.000	725.554	0.424720	419.000	451.631	1.48457	196.000	185.086	-0.742800
53.2785	1633.00	0.00000	1498.34	-3.40795	1134.00	1045.43	-2.69965	798.000	722.493	-2.79378	529.000	449.477	-3.63349	238.000	184.123	-3.67436
53.3333	1522.00	0.00000	1493.51	-0.722640	1097.00	1041.53	-1.68896	735.000	719.446	-0.575580	478.000	447.335	-1.40619	205.000	183.167	-1.49483
53.3882	1494.00	0.00000	1488.70	-0.135020	1032.00	1037.64	0.171870	724.000	716.413	-0.280290	462.000	445.204	-0.774840	205.000	182.216	-1.56850
53.4431	1572.00	0.00000	1483.90	-2.25180	1060.00	1033.76	-0.803440	740.000	713.393	-0.983560	533.000	443.084	-4.13579	216.000	181.272	-2.39330
53.4979	1568.00	0.00000	1479.11	-2.27265	1048.00	1029.90	-0.554010	684.000	710.387	0.975590	448.000	440.975	-0.321520	209.000	180.334	-1.97140
53.5528	1483.00	0.00000	1474.35	-0.222210	1064.00	1026.06	-1.16402	724.000	707.394	-0.615590	442.000	438.878	-0.144490	191.000	179.401	-0.796610
53.6077	1513.00	0.00000	1469.59	-1.11733	1021.00	1022.23	0.0378400	737.000	704.415	-1.20448	452.000	436.791	-0.704530	208.000	178.475	-2.01882
53.6626	1507.00	0.00000	1464.86	-1.08716	1059.00	1018.41	-1.24867	730.000	701.448	-1.05306	491.000	434.716	-2.61544	227.000	177.554	-3.40577
53.7174	1475.00	0.00000	1460.14	-0.383510	1088.00	1014.61	-2.25983	712.000	698.495	-0.496220	461.000	432.651	-1.33147	204.000	176.640	-1.89104
53.7723	1514.00	0.00000	1455.43	-1.51365	1093.00	1010.83	-2.53544	763.000	695.555	-2.47820	435.000	430.597	-0.207670	243.000	175.731	-4.63832
53.8272	1456.00	0.00000	1450.74	-0.136170	1033.00	1007.06	-0.803200	773.000	692.629	-2.97264	470.000	428.554	-1.95235	222.000	174.828	-3.25862
53.8820	1435.00	0.00000	1446.07	0.286540	1042.00	1003.30	-1.19751	753.000	689.715	-2.33590	436.000	426.521	-0.447000	177.000	173.931	-0.212750
53.9369	1565.00	0.00000	1441.41	-3.20270	1043.00	999.562	-1.34438	790.000	686.814	-3.81155	445.000	424.499	-0.970130	203.000	173.039	-2.10398
53.9918	1526.00	0.00000	1436.77	-2.32235	1010.00	995.835	-0.440420	684.000	683.926	-0.00273000	414.000	422.488	0.401520	218.000	172.153	-3.24364
54.0466	1419.00	0.00000	1432.14	0.342570	999.000	992.123	-0.214910	637.000	681.051	1.64067	452.000	420.487	-1.48865	184.000	171.273	-0.914520
54.1015	1535.00	0.00000	1427.53	-2.79571	1031.00	988.424	-1.32912	764.000	678.189	-3.21591	443.000	418.497	-1.16126	195.000	170.399	-1.78270
54.1564	1477.00	0.00000	1422.93	-1.40541	1057.00	984.741	-2.25969	720.000	675.339	-1.67964	463.000	416.517	-2.20322	179.000	169.529	-0.688280
54.2113	1360.00	0.00000	1418.35	1.52398	1002.00	981.071	-0.657520	700.000	672.502	-1.04656	464.000	414.548	-2.34455	177.000	168.666	-0.610000
54.2661	1469.00	0.00000	1413.78	-1.44316	1000.00	977.416	-0.710110	667.000	669.678	0.101650	446.000	412.589	-1.58109	188.000	167.808	-1.49266
54.3210	1514.00	0.00000	1409.23	-2.74845	1051.00	973.775	-2.43423	693.000	666.867	-0.992170	444.000	410.640	-1.58540	193.000	166.955	-1.92824
54.3759	1456.00	0.00000	1404.69	-1.35023	1010.00	970.148	-1.26177	708.000	664.067	-1.67776	435.000	408.701	-1.25234	167.000	166.108	-0.0665800
54.4307	1437.00	0.00000	1400.17	-0.970970	958.000	966.535	0.271280	640.000	661.281	0.816610	443.000	406.772	-1.74033	179.000	165.266	-1.02213
54.4856	1509.00	0.00000	1395.66	-2.98942	995.000	962.936	-1.02267	719.000	658.506	-2.33378	429.000	404.854	-1.16324	185.000	164.429	-1.52530
54.5405	1321.00	0.00000	1391.17	1.85178	954.000	959.351	0.171170	633.000	655.744	0.878400	418.000	402.945	-0.723960	179.000	163.598	-1.14451
54.5953	1452.00	0.00000	1386.70	-1.73030	951.000	955.780	0.153320	691.000	652.995	-1.47206	427.000	401.047	-1.25614	170.000	162.771	-0.540460
54.6502	1430.00	0.00000	1382.23	-1.26875	988.000	952.223	-1.15078	661.000	650.257	-0.416800	394.000	399.158	0.249030	187.000	161.950	-1.87171
54.7051	1348.00	0.00000	1377.79	0.792600	940.000	948.679	0.278650	635.000	647.532	0.485920	442.000	397.279	-2.16560	189.000	161.135	-2.08146
54.7600	1457.00	0.00000	1373.35	-2.23824	949.000	945.150	-0.123930	654.000	644.819	-0.358290	460.000	395.410	-3.14460	181.000	160.324	-1.55950
54.8148	1410.00	0.00000	1368.93	-1.09901	1003.00	941.633	-1.98037	658.000	642.117	-0.621900	394.000	393.551	-0.0219300	173.000	159.518	-1.02896
54.8697	1393.00	0.00000	1364.53	-0.761570	961.000	938.131	-0.739730	688.000	639.428	-1.90857	454.000	391.701	-3.05444	169.000	158.718	-0.790410
54.9246	1390.00	0.00000	1360.14	-0.802150	991.000	934.642	-1.83690	647.000	636.751	-0.404390	420.000	389.861	-1.47491	180.000	157.922	-1.70842
54.9794	1369.00	0.00000	1355.77	-0.355010	951.000	931.166	-0.643490	643.000	634.086	-0.350670	388.000	388.031	0.00153000	154.000	157.132	0.245390
55.0343	1317.00	0.00000	1351.41	0.929980	908.000	927.704	0.640340	593.000	631.432	1.51667	397.000	386.210	-0.537100	142.000	156.346	1.11912
55.0892	1463.00	0.00000	1347.06	-3.14835	911.000	924.256	0.431330	650.000	628.790	-0.838820	395.000	384.399	-0.529240	148.000	155.566	0.595850
55.1440	1323.00	0.00000	1342.73	0.539350	858.000	920.820	2.04849	613.000	626.160	0.524230	408.000	382.597	-1.28798	167.000	154.790	-0.962290
55.1989	1383.00	0.00000	1338.41	-1.22256	1018.00	917.398	-3.30123	670.000	623.542	-1.85815	397.000	380.805	-0.825510	152.000	154.019	0.159180
55.2538	1271.00	0.00000	1334.11	1.73842	921.000	913.989	-0.230260	617.000	620.935	0.158260	379.000	379.022	0.00110000	194.000	153.253	-3.21465
55.3086	1296.00	0.00000	1329.82	0.933960	981.000	910.594	-2.31605	633.000	618.340	-0.590980	373.000	377.248	0.218770	145.000	152.492	0.590220
55.3635	1231.00	0.00000	1325.55	2.62067	925.000	907.211	-0.585100	606.000	615.757	0.396410	344.000	375.483	1.62289	167.000	151.735	-1.19159
55.4184	1318.00	0.00000	1321.29	0.0913400	885.000	903.842	0.618290	601.000	613.184	0.496190	383.000	373.728	-0.481400	179.000	150.983	-2.19819
55.4733	1259.00	0.00000	1317.04	1.61728	936.000	900.486	-1.16940	582.000	610.624	1.17040	367.000	371.981	0.258850	152.000	150.236	-0.138210
55.5281	1258.00	0.00000	1312.81	1.52281	882.000	897.142	0.499980	566.000	608.074	1.72230	347.000	370.244	1.20858	146.000	149.494	0.276960
55.5830	1375.00	0.00000	1308.59	-1.84254	913.000	893.812	-0.634810	564.000	605.536	1.70250	389.000	368.516	-1.06174	175.000	148.756	-2.09601
55.6379	1257.00	0.00000	1304.38	1.31191	897.000	890.494	-0.215830	588.000	603.009	0.616180	360.000	366.797	0.349730	152.000	148.022	-0.320870
55.6927	1326.00	0.00000	1300.19	-0.714090	961.000	887.189	-2.44621	626.000	600.494	-1.04969	391.000	365.086	-1.33110	156.000	147.294	-0.715390
55.7476	1338.00	0.00000	1296.02	-1.15763	875.000	883.897	0.295370	605.000	597.989	-0.287450	375.000	363.385	-0.594190	160.000	146.569	-1.09056
55.8025	1330.00	0.00000	1291.85	-1.05028	949.000	880.618	-2.26726	619.000	595.496	-0.960900	394.000	361.692	-1.64655	124.000	145.850	1.76644
55.8573	1280.00	0.00000	1287.71	0.212420	880.000	877.351	-0.0879200	589.000	593.013	0.162880	393.000	360.009	-1.68237	139.000	145.134	0.497380
55.9122	1331.00	0.00000	1283.57	-1.30274	901.000	874.097	-0.894830	575.000	590.542	0.629390	395.000	358.334	-1.87656	129.000	144.424	1.24241
55.9671	1342.00	0.00000	1279.45	-1.72598	908.000	870.856	-1.24554	622.000	588.081	-1.37709	395.000	356.667	-1.97482	184.000	143.717	-3.25079
56.0220	1293.00	0.00000	1275.34	-0.488210	903.000	867.627	-1.18816	597.000	585.632	-0.460530	373.000	355.010	-0.929160	158.000	143.015	-1.20840
56.0768	1345.00	0.00000	1271.24	-2.04211	894.000	864.410	-1.00095	643.000	583.193	-2.41996	385.000	353.360	-1.63580	167.000	142.317	-1.97620
56.1317	1345.00	0.00000	1267.16	-2.15999	864.000	861.206	-0.0948800	612.000	580.765	-1.26224	335.000	351.720	0.871190	170.000	141.624	-2.26067
56.1866	1217.00	0.00000	1263.10	1.28028	830.000	858.015	0.954860	598.000	578.348	-0.792720	346.000	350.088	0.214620	151.000	140.935	-0.803870
56.2414	1294.00	0.00000	1259.04	-0.973310	848.000	854.835	0.233450	629.000	575.942	-2.14905	358.000	348.464	-0.505000	162.000	140.250	-1.75079
56.2963	1293.00	0.00000	1255.00	-1.06004	837.000	851.668	0.500280	632.000	573.546	-2.37475	387.000	346.849	-2.14411	144.000	139.569	-0.358480
56.3512	1227.00	0.00000	1250.97	0.670980	818.000	848.514	1.04091	603.000	571.161	-1.29899	341.000	345.242	0.226870	153.000	138.893	-1.15358
56.4060	1311.00	0.00000	1246.96	-1.79632	845.000	845.371	0.0126800	595.000	568.786	-1.07496	345.000	343.644	-0.0725800	122.000	138.220	1.35012
56.4609	1285.00	0.00000	1242.96	-1.17777	877.000	842.240	-1.18445	577.000	566.422	-0.435370	339.000	342.054	0.165050	162.000	137.552	-2.03264
56.5158	1248.00	0.00000	1238.97	-0.253750	924.000	839.122	-2.88816	564.000	564.068	0.00283000	320.000	340.472	1.10879	144.000	136.888	-0.597300
56.5707	1269.00	0.00000	1235.00	-0.954810	891.000	836.016	-1.86737	597.000	561.725	-1.47021	376.000	338.898	-2.01808	138.000	136.228	-0.148950
56.6255	1295.00	0.00000	1231.03	-1.79156	837.000	832.921	-0.139280	557.000	559.392	0.100570	330.000	337.332	0.401280	123.000	135.572	1.05791
56.6804	1246.00	0.00000	1227.09	-0.528810	874.000	829.839	-1.50744	559.000	557.070	-0.0812900	285.000	335.775	2.78106	154.000	134.920	-1.58391
56.7353	1222.00	0.00000	1223.15	0.0322100	870.000	826.768	-1.47916	574.000	554.757	-0.811540	345.000	334.225	-0.588770	136.000	134.272	-0.145070
56.7901	1312.00	0.00000	1219.23	-2.59543	867.000	823.710	-1.49356	555.000	552.455	-0.107850	361.000	332.684	-1.53414	142.000	133.628	-0.704500
56.8450	1285.00	0.00000	1215.32	-1.95114	733.000	820.663	3.04119	514.000	550.163	1.53968	304.000	331.151	1.47149	150.000	132.988	-1.44007
56.8999	1352.00	0.00000	1211.42	-3.95355	851.000	817.628	-1.15837	578.000	547.882	-1.28167	340.000	329.625	-0.559920	157.000	132.352	-2.07657
56.9547	1247.00	0.00000	1207.54	-1.11467	841.000	814.604	-0.923220	562.000	545.610	-0.701930	353.000	328.107	-1.34429	133.000	131.720	-0.108010
57.0096	1271.00	0.00000	1203.67	-1.90193	797.000	811.592	0.511220	515.000	543.348	1.21654	372.000	326.598	-2.47567	138.000	131.091	-0.586710
57.0645	1249.00	0.00000	1199.81	-1.39512	808.000	808.592	0.0208200	551.000	541.097	-0.424430	374.000	325.096	-2.67016	123.000	130.467	0.638430
57.1193	1195.00	0.00000	1195.96	0.0274500	829.000	805.604	-0.818810	562.000	538.855	-0.990820	356.000	323.601	-1.76312	135.000	129.846	-0.445070
