t	000dec	irf	000fit	000res	025dec	025fit	025res	050dec	050fit	050res	075dec	075fit	075res	100dec	100fit	100res
21.7284	9757.00	712.693	9635.34	-1.23479	9616.00	9495.13	-1.24033	9503.00	9352.51	-1.55242	9735.00	9511.27	-2.29523	9567.00	9436.08	-1.34886
21.7833	9443.00	618.707	9648.48	2.08912	9160.00	9500.56	3.49412	9262.00	9350.22	0.910610	9195.00	9498.95	3.12272	9031.00	9403.85	3.85358
21.8381	9860.00	611.444	9656.77	-2.06337	9577.00	9503.29	-0.756480	9492.00	9347.43	-1.49189	9743.00	9487.20	-2.63010	9319.00	9373.30	0.563510
21.8930	9775.00	623.981	9667.43	-1.09051	9583.00	9507.87	-0.770740	9287.00	9345.59	0.605550	9319.00	9475.94	1.61517	9165.00	9342.87	1.84740
21.9479	9601.00	588.969	9676.26	0.763350	9152.00	9510.16	3.67956	9096.00	9341.23	2.54119	9154.00	9462.08	3.17535	9148.00	9309.92	1.68864
22.0027	9657.00	571.014	9682.93	0.263150	9664.00	9510.72	-1.57430	9445.00	9335.62	-1.13533	9479.00	9447.18	-0.328520	9249.00	9276.31	0.285440
22.0576	9866.00	563.248	9689.19	-1.79370	9573.00	9510.90	-0.636750	9415.00	9329.48	-0.888180	9555.00	9431.65	-1.27376	9089.00	9241.98	1.60059
22.1125	9651.00	515.832	9693.10	0.426790	9381.00	9508.06	1.30390	9103.00	9319.95	2.25310	9208.00	9412.61	2.11860	9182.00	9204.34	0.234290
22.1674	9881.00	537.675	9695.84	-1.88336	9566.00	9505.61	-0.620930	9214.00	9312.07	1.02108	9330.00	9395.75	0.682530	9002.00	9169.28	1.76061
22.2222	9677.00	464.884	9698.13	0.215220	9664.00	9500.33	-1.68211	9229.00	9298.96	0.729060	9435.00	9372.41	-0.650720	9189.00	9126.77	-0.656680
22.2771	9477.00	393.062	9692.69	2.19822	9440.00	9488.42	0.498710	9157.00	9280.71	1.29257	9181.00	9344.56	1.70603	8869.00	9080.50	2.23976
22.3320	10001.0	352.797	9684.80	-3.23065	9440.00	9474.04	0.351530	9497.00	9259.63	-2.48839	9286.00	9313.56	0.288440	8911.00	9030.85	1.27419
22.3868	9182.00	280.189	9672.14	5.01931	9251.00	9454.52	2.10383	8873.00	9233.40	3.78107	8890.00	9277.43	4.05852	8610.00	8976.38	3.91134
22.4417	9398.00	292.899	9657.24	2.65915	9228.00	9434.51	2.13848	8943.00	9208.25	2.78589	8906.00	9243.12	3.53944	8728.00	8924.47	2.10099
22.4966	9512.00	277.178	9643.75	1.35310	9294.00	9414.74	1.25399	9005.00	9182.10	1.86163	8929.00	9207.28	2.93105	8674.00	8870.73	2.11432
22.5514	9439.00	269.778	9628.23	1.94427	9126.00	9393.74	2.78733	8872.00	9155.57	2.98672	9031.00	9171.46	1.48342	8456.00	8817.47	3.89358
22.6063	9254.00	230.592	9612.10	3.68833	9216.00	9371.13	1.61565	8978.00	9126.34	1.56732	9029.00	9132.36	1.09475	8529.00	8760.52	2.50110
22.6612	9596.00	179.581	9591.43	-0.0470400	9268.00	9344.30	0.795850	9033.00	9093.56	0.640090	8962.00	9090.09	1.35824	8739.00	8701.02	-0.410990
22.7161	9466.00	194.881	9570.20	1.07342	9177.00	9317.98	1.47360	9093.00	9062.08	-0.327860	8912.00	9049.50	1.46215	8401.00	8643.59	2.63661
22.7709	9403.00	173.265	9549.45	1.50950	9038.00	9291.16	2.64913	8833.00	9029.21	2.08280	8743.00	9007.18	2.81122	8520.00	8584.38	0.700760
22.8258	9586.00	181.143	9527.48	-0.604300	9371.00	9264.16	-1.11923	8986.00	8997.11	0.117920	8825.00	8966.04	1.50517	8463.00	8526.73	0.695670
22.8807	9290.00	123.112	9504.86	2.22048	9016.00	9234.82	2.29622	8818.00	8960.95	1.52158	8706.00	8919.99	2.28996	8355.00	8463.54	1.18815
22.9355	9257.00	75.9966	9476.35	2.27220	8870.00	9200.64	3.48065	8410.00	8921.57	5.45799	8452.00	8871.66	4.50364	8056.00	8399.34	3.77498
22.9904	9418.00	159.162	9450.95	0.341570	9107.00	9171.49	0.679470	8852.00	8888.47	0.389950	8820.00	8830.19	0.109560	8434.00	8342.43	-1.00942
23.0453	9133.00	113.682	9428.35	3.06909	8952.00	9142.17	2.00841	8829.00	8852.24	0.249080	8575.00	8784.19	2.25503	8043.00	8279.87	2.62490
23.1001	9120.00	57.0690	9399.06	2.90569	8935.00	9107.26	1.82464	8587.00	8812.10	2.42108	8594.00	8735.14	1.52589	8101.00	8215.33	1.27155
23.1550	9200.00	72.9387	9370.21	1.77620	8747.00	9073.51	3.46056	8659.00	8773.33	1.23220	8519.00	8687.51	1.82494	8077.00	8152.23	0.840490
23.2099	9356.00	18.0661	9340.13	-0.166020	9027.00	9037.15	0.107850	8755.00	8730.78	-0.261230	8617.00	8635.56	0.201230	8008.00	8084.54	0.857160
23.2647	8990.00	0.00000	9306.58	3.31753	8662.00	8998.52	3.58805	8482.00	8687.15	2.21892	8345.00	8583.11	2.59223	7754.00	8017.11	2.96559
23.3196	9246.00	6.56970	9273.48	0.288040	8898.00	8960.45	0.667420	8405.00	8644.24	2.59421	8376.00	8531.60	1.69699	7928.00	7950.99	0.259880
23.3745	8927.00	37.0184	9241.87	3.30640	8920.00	8924.42	0.0473100	8500.00	8603.78	1.12600	8435.00	8482.80	0.522970	7695.00	7887.85	2.19183
23.4294	8891.00	10.4037	9211.05	3.36353	8490.00	8887.91	4.26548	8306.00	8561.61	2.77966	8242.00	8431.73	2.07923	7723.00	7822.11	1.13066
23.4842	9092.00	0.00000	9178.05	0.906030	8537.00	8850.00	3.36358	8407.00	8518.91	1.22083	8234.00	8380.62	1.61241	7514.00	7756.95	2.78323
23.5391	9119.00	0.00000	9145.18	0.275760	8578.00	8812.27	2.51629	8439.00	8476.44	0.408900	8308.00	8329.85	0.240410	7609.00	7692.36	0.956900
23.5940	8800.00	0.00000	9112.45	3.29086	8568.00	8774.72	2.22410	8498.00	8434.21	-0.697680	8121.00	8279.41	1.74466	7365.00	7628.34	3.03722
23.6488	9065.00	0.00000	9079.86	0.156670	8641.00	8737.36	1.03853	8311.00	8392.21	0.889970	8260.00	8229.31	-0.338870	7557.00	7564.88	0.0912400
23.7037	9043.00	0.00000	9047.41	0.0464600	8640.00	8700.17	0.648040	8275.00	8350.44	0.826120	8100.00	8179.53	0.878720	7431.00	7501.99	0.824440
23.7586	8946.00	0.00000	9015.09	0.728410	8740.00	8663.16	-0.826880	8329.00	8308.90	-0.220500	8282.00	8130.07	-1.68111	7479.00	7439.64	-0.458840
23.8134	9250.00	0.00000	8982.91	-2.82268	8639.00	8626.33	-0.136370	8165.00	8267.59	1.12879	8219.00	8080.94	-1.53360	7286.00	7377.84	1.07474
23.8683	8814.00	0.00000	8950.86	1.44461	8644.00	8589.67	-0.584700	8216.00	8226.50	0.115690	8069.00	8032.13	-0.409930	7235.00	7316.59	0.955520
23.9232	8986.00	0.00000	8918.94	-0.708760	8599.00	8553.19	-0.493690	8420.00	8185.64	-2.58329	8125.00	7983.64	-1.57655	7245.00	7255.87	0.127930
23.9781	8950.00	0.00000	8887.15	-0.664340	8672.00	8516.88	-1.67220	8109.00	8145.00	0.397410	8021.00	7935.47	-0.955020	7022.00	7195.69	2.04869
24.0329	8729.00	0.00000	8855.50	1.33962	8592.00	8480.74	-1.20410	8018.00	8104.58	0.959000	7738.00	7887.61	1.67760	7102.00	7136.03	0.403080
24.0878	8991.00	0.00000	8823.98	-1.76957	8540.00	8444.78	-1.03008	8333.00	8064.38	-2.97547	7979.00	7840.06	-1.56223	7257.00	7076.90	-2.13770
24.1427	8864.00	0.00000	8792.58	-0.757760	8433.00	8408.99	-0.260140	8209.00	8024.41	-2.04975	7822.00	7792.82	-0.328950	6914.00	7018.28	1.24141
24.1975	9014.00	0.00000	8761.32	-2.68725	8588.00	8373.37	-2.33158	8055.00	7984.65	-0.784330	7934.00	7745.89	-2.12740	7147.00	6960.18	-2.23339
24.2524	8654.00	0.00000	8730.18	0.809760	8128.00	8337.92	2.28273	7835.00	7945.10	1.22707	7671.00	7699.27	0.320180	6937.00	6902.59	-0.411720
24.3073	9178.00	0.00000	8699.18	-5.09216	8706.00	8302.63	-4.40094	8154.00	7905.77	-2.77324	7828.00	7652.95	-1.98683	7025.00	6845.51	-2.15576
24.3621	8577.00	0.00000	8668.30	0.972560	8407.00	8267.52	-1.52339	7859.00	7866.66	0.0859300	7687.00	7606.93	-0.911300	6861.00	6788.92	-0.869230
24.4170	8617.00	0.00000	8637.54	0.219360	8199.00	8232.57	0.367580	7842.00	7827.76	-0.160290	7684.00	7561.21	-1.40099	6706.00	6732.83	0.324630
24.4719	9040.00	0.00000	8606.92	-4.63279	8515.00	8197.78	-3.48327	8154.00	7789.06	-4.11134	7817.00	7515.79	-3.44822	6902.00	6677.23	-2.73012
24.5268	8642.00	0.00000	8576.42	-0.702770	8089.00	8163.16	0.814470	7664.00	7750.58	0.977030	7442.00	7470.66	0.328700	6643.00	6622.12	-0.254270
24.5816	8724.00	0.00000	8546.04	-1.91373	8386.00	8128.71	-2.83871	7713.00	7712.31	-0.00780000	7596.00	7425.83	-1.95842	6748.00	6567.49	-2.20850
24.6365	8498.00	0.00000	8515.79	0.191440	8035.00	8094.41	0.657260	7799.00	7674.25	-1.41531	7476.00	7381.28	-1.09428	6522.00	6513.34	-0.106330
24.6914	8720.00	0.00000	8485.66	-2.52504	8177.00	8060.28	-1.29433	7890.00	7636.39	-2.88530	7474.00	7337.03	-1.58875	6657.00	6459.66	-2.43270
24.7462	8386.00	0.00000	8455.65	0.753180	8107.00	8026.31	-0.897700	7605.00	7598.73	-0.0715400	7415.00	7293.06	-1.42234	6609.00	6406.46	-2.50777
